alerta_id,numero_cuenta,movimiento_id,score_riesgo,motivo,estado,fecha
ALR-00001,191-1716491-0-97,MOV-0000216,73,Monto atípico para el perfil,PENDIENTE,2026-07-16
ALR-00002,191-2488683-0-90,MOV-0000082,82,Cambio de dispositivo reciente,DESCARTADA,2026-07-28
ALR-00003,191-2488683-0-90,MOV-0000085,91,Operación en ubicación inusual,PENDIENTE,2026-08-27
ALR-00004,191-3400825-0-60,MOV-0000257,71,Cambio de dispositivo reciente,DESCARTADA,2026-08-24
ALR-00005,191-4560474-0-32,MOV-0000222,93,Operación en ubicación inusual,PENDIENTE,2026-08-12
ALR-00006,191-1658456-0-62,MOV-0000013,63,Monto atípico para el perfil,DESCARTADA,2026-07-26
ALR-00007,191-4595004-0-93,MOV-0000190,89,Múltiples intentos en 5 minutos,DESCARTADA,2026-08-19
ALR-00008,191-1094797-0-32,MOV-0000283,90,Horario atípico (02:00-05:00),DESCARTADA,2026-08-04
ALR-00009,191-8058129-0-48,MOV-0000155,75,Cambio de dispositivo reciente,DESCARTADA,2026-08-11
ALR-00010,191-3400825-0-60,MOV-0000255,72,Cambio de dispositivo reciente,CONFIRMADA_FRAUDE,2026-08-31
ALR-00011,191-9250722-0-70,MOV-0000376,71,Cambio de dispositivo reciente,PENDIENTE,2026-07-29
ALR-00012,191-4560474-0-32,MOV-0000224,74,Múltiples intentos en 5 minutos,DESCARTADA,2026-07-28
ALR-00013,191-9893276-0-77,MOV-0000065,76,Comercio de alto riesgo,PENDIENTE,2026-08-10
ALR-00014,191-4550502-0-89,MOV-0000266,85,Monto atípico para el perfil,DESCARTADA,2026-08-28
ALR-00015,191-2238952-0-17,MOV-0000261,79,Múltiples intentos en 5 minutos,DESCARTADA,2026-07-10
ALR-00016,191-1623162-0-60,MOV-0000177,90,Cambio de dispositivo reciente,DESCARTADA,2026-08-11
ALR-00017,191-2488683-0-90,MOV-0000084,93,Múltiples intentos en 5 minutos,DESCARTADA,2026-07-16
ALR-00018,191-1623162-0-60,MOV-0000173,62,Horario atípico (02:00-05:00),DESCARTADA,2026-07-23
ALR-00019,191-2971485-0-31,MOV-0000036,95,Cambio de dispositivo reciente,DESCARTADA,2026-08-14
ALR-00020,191-2729849-0-86,MOV-0000128,59,Operación en ubicación inusual,DESCARTADA,2026-07-11
ALR-00021,191-2238952-0-17,MOV-0000261,72,Múltiples intentos en 5 minutos,CONFIRMADA_FRAUDE,2026-07-13
ALR-00022,191-5006692-0-92,MOV-0000238,71,Horario atípico (02:00-05:00),PENDIENTE,2026-07-08
ALR-00023,191-1094797-0-32,MOV-0000278,68,Horario atípico (02:00-05:00),DESCARTADA,2026-07-23
ALR-00024,191-4379216-0-53,MOV-0000393,93,Monto atípico para el perfil,PENDIENTE,2026-07-16
ALR-00025,191-7838895-0-48,MOV-0000301,56,Cambio de dispositivo reciente,DESCARTADA,2026-09-04
