numero_cuenta,titular,dni,tipo_cuenta,moneda,saldo,estado,fecha_apertura
191-9450993-0-54,Lucía Chávez Zegarra,21712322,AHORROS,PEN,14375.51,ACTIVA,2022-07-23
191-1658456-0-62,Pilar Ccahuana Vargas,49649760,AHORROS,USD,46740.36,ACTIVA,2021-09-17
191-8933261-0-97,Valeria Villanueva Ríos,57484061,AHORROS,PEN,12983.16,ACTIVA,2025-02-27
191-2971485-0-31,Claudia Ccahuana Yupanqui,63545646,AHORROS,PEN,42040.21,BLOQUEADA,2021-06-08
191-6407061-0-12,Ricardo Rojas Cárdenas,41110894,AHORROS,PEN,20208.05,ACTIVA,2023-12-30
191-9893276-0-77,Lucía Zegarra Delgado,63588371,SUELDO,PEN,30298.1,ACTIVA,2026-01-15
191-2277795-0-93,Elena Salazar Loayza,35240726,CORRIENTE,PEN,4945.77,ACTIVA,2024-01-29
191-2488683-0-90,Mauricio Quispe Rojas,10494684,SUELDO,PEN,20075.97,ACTIVA,2024-11-17
191-7024321-0-84,Miguel Huamán Castillo,13841608,SUELDO,PEN,26672.48,ACTIVA,2023-07-10
191-6964308-0-64,Diego Villanueva Salazar,15428487,SUELDO,USD,15585.79,ACTIVA,2024-11-24
191-2275088-0-33,Carlos Villanueva Castillo,75825877,CORRIENTE,PEN,39776.51,ACTIVA,2025-08-28
191-2729849-0-86,José Salazar Yupanqui,79555909,SUELDO,PEN,42503.83,ACTIVA,2022-04-20
191-8674750-0-78,Andrés Chávez Espinoza,50374626,AHORROS,PEN,40140.34,ACTIVA,2021-03-31
191-8058129-0-48,Sofía Paredes Espinoza,33095865,AHORROS,PEN,44320.16,BLOQUEADA,2026-04-04
191-6362380-0-90,Mauricio Torres Yupanqui,44557026,AHORROS,PEN,47922.4,ACTIVA,2023-10-26
191-1623162-0-60,Diego Vargas Cárdenas,57785788,AHORROS,PEN,40290.62,ACTIVA,2021-04-13
191-1769840-0-24,Elena Rojas Ampuero,72188293,AHORROS,PEN,43827.44,ACTIVA,2021-11-04
191-4595004-0-93,Andrés Mendoza Huamán,37981900,AHORROS,PEN,39031.83,ACTIVA,2022-07-04
191-5902903-0-89,Carlos Salazar Villanueva,44995929,AHORROS,PEN,2893.67,ACTIVA,2024-10-15
191-6918966-0-46,Sofía Quispe Ampuero,35853893,AHORROS,PEN,20610.73,ACTIVA,2022-11-08
191-1716491-0-97,Sofía Rojas Espinoza,25787938,AHORROS,USD,9033.66,BLOQUEADA,2026-05-08
191-4560474-0-32,Claudia Huamán Bustamante,54958954,AHORROS,PEN,746.0,BLOQUEADA,2022-08-23
191-5006692-0-92,Álvaro Villanueva Ampuero,14173094,SUELDO,PEN,17632.81,ACTIVA,2025-09-30
191-5874843-0-11,Luis Cárdenas Ríos,43056782,CORRIENTE,PEN,31431.73,ACTIVA,2024-03-26
191-3400825-0-60,Diego Bustamante Delgado,53760253,CORRIENTE,PEN,10835.96,ACTIVA,2023-03-21
191-2238952-0-17,Claudia Delgado Rojas,27253217,AHORROS,PEN,42163.19,ACTIVA,2021-11-02
191-4550502-0-89,Patricia Delgado Bustamante,10987549,AHORROS,PEN,4565.23,ACTIVA,2024-10-30
191-1094797-0-32,Rosa Flores Espinoza,56653844,CORRIENTE,PEN,29232.07,ACTIVA,2025-10-15
191-5460542-0-97,Silvia Cárdenas Huamán,38688969,AHORROS,PEN,778.02,ACTIVA,2021-08-17
191-5543090-0-41,Renzo Ríos Delgado,57453287,CORRIENTE,PEN,421.28,BLOQUEADA,2024-04-05
191-7838895-0-48,Gabriela Rojas Ccahuana,47627839,CORRIENTE,PEN,46148.98,ACTIVA,2023-09-10
191-7051319-0-57,José Castillo Alarcón,74095381,AHORROS,PEN,45410.77,ACTIVA,2022-12-09
191-6647756-0-77,Jorge Paredes Huamán,35797946,AHORROS,PEN,28864.39,ACTIVA,2024-07-01
191-4074838-0-50,Gabriela Mendoza Cárdenas,24123008,CORRIENTE,PEN,23491.05,ACTIVA,2023-06-08
191-6085543-0-66,Elena Ríos Torres,57319530,AHORROS,PEN,35613.38,ACTIVA,2021-08-02
191-3121468-0-31,Milagros Castillo Quispe,24008018,AHORROS,PEN,31964.77,ACTIVA,2023-11-17
191-9904921-0-62,Renzo Loayza Ramírez,31796285,AHORROS,PEN,30374.14,ACTIVA,2022-03-08
191-9250722-0-70,Jorge Zegarra Paredes,40948976,SUELDO,PEN,22233.66,ACTIVA,2024-04-22
191-7085393-0-37,Ana Yupanqui Espinoza,57437252,AHORROS,PEN,16060.29,ACTIVA,2025-02-15
191-4379216-0-53,Mauricio Chávez Ríos,16228284,SUELDO,PEN,47663.64,ACTIVA,2021-07-16
