movimiento_id,numero_cuenta,fecha,descripcion,monto,tipo,canal,ubicacion
MOV-0000001,191-9450993-0-54,2026-06-29,Farmacia Pacha,-829.24,CARGO,TRANSFERENCIA_DIFERIDA,San Juan de Lurigancho
MOV-0000002,191-9450993-0-54,2026-08-05,Grifo Wayra,-630.67,CARGO,INTIPAY,Chorrillos
MOV-0000003,191-9450993-0-54,2026-08-25,Transferencia P2P,-251.48,CARGO,APP,Lince
MOV-0000004,191-9450993-0-54,2026-07-13,Botica Sumaq,-973.48,CARGO,TRANSFERENCIA_DIFERIDA,Villa El Salvador
MOV-0000005,191-9450993-0-54,2026-07-08,Ferretería Nexo,-129.38,CARGO,APP,La Molina
MOV-0000006,191-9450993-0-54,2026-08-17,StreamAndina,-535.1,CARGO,POS,Miraflores
MOV-0000007,191-9450993-0-54,2026-06-08,Cine Estelar,-583.54,CARGO,TRANSFERENCIA_DIFERIDA,Villa El Salvador
MOV-0000008,191-9450993-0-54,2026-07-01,Cine Estelar,-1063.28,CARGO,TRANSFERENCIA_INMEDIATA,Independencia
MOV-0000009,191-9450993-0-54,2026-07-29,Supermercado Kori,826.28,ABONO,APP,EN_LINEA
MOV-0000010,191-9450993-0-54,2026-07-12,Botica Sumaq,-206.96,CARGO,WEB,San Miguel
MOV-0000011,191-1658456-0-62,2026-06-27,Grifo Wayra,-230.37,CARGO,INTIPAY,Lince
MOV-0000012,191-1658456-0-62,2026-06-22,Mercado Inti,-493.52,CARGO,TRANSFERENCIA_INMEDIATA,Independencia
MOV-0000013,191-1658456-0-62,2026-09-04,Supermercado Kori,1271.84,ABONO,INTIPAY,San Miguel
MOV-0000014,191-1658456-0-62,2026-08-14,Ferretería Nexo,1382.41,ABONO,ATM,Magdalena del Mar
MOV-0000015,191-1658456-0-62,2026-06-19,Ferretería Nexo,522.68,ABONO,WEB,Callao
MOV-0000016,191-1658456-0-62,2026-07-19,StreamAndina,-1112.07,CARGO,INTIPAY,La Molina
MOV-0000017,191-1658456-0-62,2026-08-12,Cine Estelar,-654.25,CARGO,INTIPAY,EN_LINEA
MOV-0000018,191-1658456-0-62,2026-07-02,StreamAndina,-638.92,CARGO,ATM,Magdalena del Mar
MOV-0000019,191-1658456-0-62,2026-08-01,Botica Sumaq,-166.92,CARGO,WEB,San Isidro
MOV-0000020,191-1658456-0-62,2026-08-21,Cajero Banco Inti,124.05,ABONO,POS,La Molina
MOV-0000021,191-8933261-0-97,2026-08-15,Grifo Wayra,-648.96,CARGO,TRANSFERENCIA_DIFERIDA,EN_LINEA
MOV-0000022,191-8933261-0-97,2026-08-16,Delivery Ñam,-1287.34,CARGO,APP,Ate
MOV-0000023,191-8933261-0-97,2026-07-05,Delivery Ñam,-985.81,CARGO,POS,EN_LINEA
