tarjeta_id,numero_cuenta,ultimos_4_digitos,marca,estado,linea_credito,dia_facturacion
TC-00001,191-9450993-0-54,6738,CLASICA,BLOQUEADA,3500,10
TC-00002,191-1658456-0-62,5581,CLASICA,ACTIVA,12000,5
TC-00003,191-8933261-0-97,3861,PLATINUM,ACTIVA,12000,15
TC-00004,191-2971485-0-31,7735,CLASICA,ACTIVA,12000,10
TC-00005,191-6407061-0-12,8545,PLATINUM,ACTIVA,8000,15
TC-00006,191-9893276-0-77,8376,CLASICA,ACTIVA,5000,25
TC-00007,191-2277795-0-93,7102,PLATINUM,BLOQUEADA,3500,25
TC-00008,191-2488683-0-90,6476,PLATINUM,BLOQUEADA,2000,15
TC-00009,191-7024321-0-84,7594,ORO,ACTIVA,12000,15
TC-00010,191-6964308-0-64,4933,ORO,ACTIVA,20000,28
TC-00011,191-2275088-0-33,5731,ORO,ACTIVA,2000,20
TC-00012,191-2729849-0-86,1777,ORO,BLOQUEADA,20000,25
TC-00013,191-8674750-0-78,1130,PLATINUM,ACTIVA,8000,10
TC-00014,191-8058129-0-48,6333,CLASICA,ACTIVA,5000,25
TC-00015,191-6362380-0-90,5308,PLATINUM,ACTIVA,8000,10
TC-00016,191-1623162-0-60,4439,PLATINUM,ACTIVA,5000,28
TC-00017,191-1769840-0-24,7546,PLATINUM,ACTIVA,5000,5
TC-00018,191-4595004-0-93,5838,ORO,BLOQUEADA,2000,25
TC-00019,191-5902903-0-89,8824,PLATINUM,ACTIVA,12000,10
TC-00020,191-6918966-0-46,3387,PLATINUM,ACTIVA,5000,28
TC-00021,191-1716491-0-97,3071,PLATINUM,ACTIVA,20000,5
TC-00022,191-4560474-0-32,3344,ORO,ACTIVA,2000,15
TC-00023,191-5006692-0-92,4333,ORO,ACTIVA,2000,25
TC-00024,191-5874843-0-11,8793,ORO,ACTIVA,12000,20
TC-00025,191-3400825-0-60,2648,PLATINUM,ACTIVA,8000,25
TC-00026,191-2238952-0-17,3486,ORO,ACTIVA,3500,10
TC-00027,191-4550502-0-89,1748,ORO,ACTIVA,5000,20
TC-00028,191-1094797-0-32,6430,ORO,ACTIVA,12000,15
TC-00029,191-5460542-0-97,6261,ORO,ACTIVA,3500,25
TC-00030,191-5543090-0-41,1893,CLASICA,ACTIVA,3500,25
