poliza_id,placa,titular,dni,tipo_poliza,inicio_vigencia,fin_vigencia,prima_soles,estado,modalidad
SOAT-2026-00001,VEX-958,Ricardo Huamán Torres,17381751,SOAT,2026-05-11,2027-05-11,107.5,VIGENTE,FISICO
SOAT-2026-00002,WHX-622,Valeria Ninahuanca Quispe,52646096,SOAT,2025-10-07,2026-10-07,108.32,VIGENTE,DIGITAL
SOAT-2026-00003,CHD-242,Jorge Ninahuanca Chávez,27704519,SOAT,2026-02-18,2027-02-18,85.12,VIGENTE,FISICO
SOAT-2026-00004,VPZ-907,Karina Castillo Ninahuanca,79872671,SOAT,2026-02-10,2027-02-10,474.43,VIGENTE,DIGITAL
SOAT-2026-00005,RER-665,Carmen Mendoza Loayza,53517081,SOAT,2026-07-10,2027-07-10,88.21,VIGENTE,DIGITAL
SOAT-2026-00006,MXK-889,Valeria Rojas Salazar,32880961,SOAT,2026-04-30,2027-04-30,175.41,VIGENTE,FISICO
SOAT-2026-00007,PJG-885,Karina Huamán Bustamante,73303595,SOAT,2026-06-10,2027-06-10,92.73,VIGENTE,DIGITAL
SOAT-2026-00008,FGC-383,Raúl Castillo Loayza,18998996,SOAT,2026-08-07,2027-08-07,86.91,VIGENTE,FISICO
SOAT-2026-00009,WRQ-768,Carlos Villanueva Ccahuana,67413838,SOAT,2026-07-06,2027-07-06,443.84,VIGENTE,DIGITAL
SOAT-2026-00010,KAD-477,Elena Ríos Espinoza,79619323,SOAT,2025-08-16,2026-08-16,86.47,VENCIDA,DIGITAL
SOAT-2026-00011,PNT-713,Silvia Yupanqui Paredes,63669990,SOAT,2026-04-26,2027-04-26,478.2,VIGENTE,DIGITAL
SOAT-2026-00012,ZJV-994,Rosa Villanueva Salazar,28805177,SOAT,2026-05-18,2027-05-18,99.53,VIGENTE,FISICO
SOAT-2026-00013,GEZ-396,Jorge Torres Rojas,76034209,SOAT,2025-11-08,2026-11-08,408.75,VIGENTE,FISICO
SOAT-2026-00014,CGQ-185,Pilar Villanueva Loayza,64998748,SOAT,2025-08-07,2026-08-07,97.53,VENCIDA,DIGITAL
SOAT-2026-00015,RAR-712,César Chávez Huamán,51803580,SOAT,2025-08-13,2026-08-13,142.65,VENCIDA,DIGITAL
SOAT-2026-00016,NGA-362,Pilar Ríos Bustamante,14471359,SOAT,2025-08-20,2026-08-20,106.6,VENCIDA,DIGITAL
SOAT-2026-00017,XAK-983,Karina Flores Ríos,67031347,SOAT,2026-08-26,2027-08-26,101.36,VIGENTE,DIGITAL
SOAT-2026-00018,FHN-952,José Villanueva Delgado,12913130,SOAT,2026-03-29,2027-03-29,94.99,VIGENTE,FISICO
SOAT-2026-00019,AZN-739,Carmen Espinoza Quispe,66594242,SOAT,2026-07-17,2027-07-17,173.69,VIGENTE,FISICO
SOAT-2026-00020,WMY-509,Iván Torres Rojas,25018142,SOAT,2026-04-15,2027-04-15,103.42,VIGENTE,DIGITAL
SOAT-2026-00021,SGQ-171,Karina Yupanqui Ramírez,79927772,SOAT,2026-06-21,2027-06-21,90.39,VIGENTE,FISICO
SOAT-2026-00022,PZD-877,Karina Ramírez Zegarra,42184888,SOAT,2026-03-04,2027-03-04,102.98,VIGENTE,FISICO
SOAT-2026-00023,VBT-201,Sofía Espinoza Mendoza,32439909,SOAT,2025-10-18,2026-10-18,100.57,VIGENTE,FISICO
SOAT-2026-00024,HEX-874,María Zegarra Ccahuana,51005621,SOAT,2025-11-13,2026-11-13,106.56,VIGENTE,DIGITAL
SOAT-2026-00025,TVE-724,José Ccahuana Torres,15400355,SOAT,2025-11-06,2026-11-06,162.27,VIGENTE,DIGITAL
SOAT-2026-00026,KLJ-264,Ana Bustamante Vargas,42768287,SOAT,2025-11-25,2026-11-25,163.26,VIGENTE,FISICO
SOAT-2026-00027,ADB-507,Valeria Salazar Alarcón,52041876,SOAT,2025-09-23,2026-09-23,411.21,VIGENTE,FISICO
SOAT-2026-00028,VWQ-331,Ana Villanueva Ampuero,29594663,SOAT,2026-02-07,2027-02-07,161.62,VIGENTE,DIGITAL
SOAT-2026-00029,TKL-554,Jorge Torres Mendoza,41109304,SOAT,2026-01-02,2027-01-02,103.43,VIGENTE,DIGITAL
SOAT-2026-00030,VCC-466,Luis Bustamante Villanueva,62179062,SOAT,2025-10-26,2026-10-26,452.17,VIGENTE,DIGITAL
SOAT-2026-00031,AMM-180,Ricardo Alarcón Vargas,55489206,SOAT,2025-09-06,2026-09-06,98.05,VIGENTE,FISICO
SOAT-2026-00032,KRM-740,Patricia Mendoza Delgado,67593555,SOAT,2026-01-14,2027-01-14,100.98,VIGENTE,DIGITAL
SOAT-2026-00033,LLZ-673,Ricardo Huamán Torres,13750663,SOAT,2025-12-20,2026-12-20,94.78,VIGENTE,FISICO
SOAT-2026-00034,VSY-384,Carlos Castillo Mendoza,13679752,SOAT,2025-09-06,2026-09-06,108.29,VIGENTE,DIGITAL
SOAT-2026-00035,XVY-829,Karina Vargas Bustamante,43048277,SOAT,2026-01-29,2027-01-29,102.82,VIGENTE,FISICO
SOAT-2026-00036,BDX-168,Carlos Ramírez Salazar,66072435,SOAT,2026-02-11,2027-02-11,86.86,VIGENTE,FISICO
SOAT-2026-00037,KSY-812,Carlos Villanueva Zegarra,15651570,SOAT,2026-03-24,2027-03-24,229.92,VIGENTE,FISICO
SOAT-2026-00038,GHB-795,Lucía Espinoza Ramírez,39480662,SOAT,2026-08-19,2027-08-19,100.59,VIGENTE,DIGITAL
SOAT-2026-00039,YHC-436,Carmen Cárdenas Huamán,15003193,SOAT,2026-08-22,2027-08-22,94.02,VIGENTE,DIGITAL
SOAT-2026-00040,ELX-433,Raúl Delgado Alarcón,15196965,SOAT,2026-01-26,2027-01-26,90.52,VIGENTE,FISICO
SOAT-2026-00041,MXE-326,Jorge Huamán Ríos,11623176,SOAT,2026-04-08,2027-04-08,101.03,VIGENTE,FISICO
SOAT-2026-00042,UEJ-230,Lucía Ninahuanca Ninahuanca,79963063,SOAT,2025-11-18,2026-11-18,89.14,VIGENTE,FISICO
SOAT-2026-00043,VWV-718,Jorge Villanueva Paredes,23740976,SOAT,2025-12-05,2026-12-05,494.64,VIGENTE,DIGITAL
SOAT-2026-00044,PNY-103,Fernando Villanueva Delgado,35075769,SOAT,2026-02-21,2027-02-21,93.35,VIGENTE,FISICO
SOAT-2026-00045,FZA-969,Gabriela Villanueva Vargas,12330612,SOAT,2026-03-18,2027-03-18,97.93,VIGENTE,FISICO
