numero_linea,nombre_titular,dni,plan_id,plan_nombre,estado,fecha_alta,distrito
988837195,Iván Ramírez Rojas,22707453,AM-PRO-129,Pro 129,ACTIVO,2025-10-07,Lince
946265482,Claudia Alarcón Torres,76631941,AM-ILIM-179,Ilimitado 179,ACTIVO,2025-04-19,Independencia
921230295,Claudia Cárdenas Cárdenas,13640536,AM-PRO-129,Pro 129,ACTIVO,2022-12-17,Surquillo
987807296,Sofía Cárdenas Yupanqui,22288216,AM-ILIM-179,Ilimitado 179,ACTIVO,2025-01-25,Callao
978876350,Milagros Chávez Zegarra,64536122,AM-ILIM-179,Ilimitado 179,SUSPENDIDO,2023-11-26,San Miguel
952222571,Carlos Bustamante Vargas,40715245,AM-PRO-129,Pro 129,ACTIVO,2023-06-20,San Isidro
973881882,María Quispe Chávez,26406803,AM-CTRL-39,Control 39,ACTIVO,2025-11-26,San Miguel
924132781,Gabriela Huamán Torres,22329725,AM-MAX-89,Max 89,ACTIVO,2026-05-07,Surquillo
940610352,Fernando Vargas Zegarra,78279287,AM-ILIM-179,Ilimitado 179,ACTIVO,2024-06-10,Comas
915507872,José Castillo Rojas,13312217,AM-MAX-59,Max 59,ACTIVO,2023-05-20,San Isidro
950011472,Ricardo Ampuero Flores,27612508,AM-MAX-59,Max 59,ACTIVO,2026-04-18,Villa El Salvador
937787771,César Mendoza Quispe,24755545,AM-PRO-129,Pro 129,ACTIVO,2023-01-05,Independencia
927044321,César Zegarra Loayza,68006294,AM-MAX-59,Max 59,ACTIVO,2023-05-29,San Juan de Lurigancho
917651234,Valeria Zegarra Ccahuana,46879218,AM-MAX-89,Max 89,SUSPENDIDO,2023-07-12,Magdalena del Mar
985685244,Rosa Ccahuana Torres,29599579,AM-PRO-129,Pro 129,ACTIVO,2026-04-27,Ate
940136289,Ana Alarcón Cárdenas,79104687,AM-PRO-129,Pro 129,ACTIVO,2023-01-04,San Borja
915210990,Sofía Rojas Yupanqui,77271509,AM-MAX-59,Max 59,ACTIVO,2026-01-18,Independencia
