numero_linea,periodo,gb_consumidos,gb_incluidos,minutos_consumidos,sms_enviados
988837195,2026-07,73.41,60,469,18
988837195,2026-08,24.88,60,510,42
946265482,2026-07,33.32,100,826,15
946265482,2026-08,90.39,100,277,50
921230295,2026-07,50.88,60,678,0
921230295,2026-08,8.0,60,174,21
987807296,2026-07,23.58,100,95,15
987807296,2026-08,24.69,100,133,20
978876350,2026-07,99.51,100,163,38
978876350,2026-08,68.6,100,369,21
952222571,2026-07,57.09,60,899,53
952222571,2026-08,38.03,60,464,6
973881882,2026-07,7.8,8,380,54
973881882,2026-08,4.9,8,427,17
924132781,2026-07,8.84,30,187,59
924132781,2026-08,34.76,30,524,26
940610352,2026-07,44.83,100,319,0
940610352,2026-08,115.27,100,666,60
915507872,2026-07,3.73,18,621,44
915507872,2026-08,2.02,18,175,44
950011472,2026-07,10.28,18,71,21
950011472,2026-08,3.34,18,119,2
937787771,2026-07,68.43,60,552,50
937787771,2026-08,46.94,60,890,9
927044321,2026-07,15.06,18,360,48
927044321,2026-08,10.0,18,850,42
917651234,2026-07,27.1,30,453,35
917651234,2026-08,5.89,30,48,32
985685244,2026-07,63.54,60,191,51
985685244,2026-08,45.0,60,453,58
940136289,2026-07,41.87,60,687,42
940136289,2026-08,52.58,60,56,16
915210990,2026-07,13.09,18,616,45
915210990,2026-08,3.99,18,385,23
910789277,2026-07,46.3,100,495,38
910789277,2026-08,111.1,100,482,31
939262906,2026-07,20.3,100,610,28
939262906,2026-08,64.97,100,226,10
989255363,2026-07,13.0,30,545,37
989255363,2026-08,30.96,30,122,5
988055365,2026-07,3.66,30,481,26
988055365,2026-08,37.22,30,166,23
932105368,2026-07,7.99,8,53,56
932105368,2026-08,6.43,8,202,45
938413740,2026-07,2.05,8,229,27
938413740,2026-08,1.78,8,812,29
954460932,2026-07,23.71,30,313,51
954460932,2026-08,12.72,30,701,48
987664190,2026-07,94.38,100,598,57
987664190,2026-08,47.12,100,154,59
915726991,2026-07,27.66,30,639,53
915726991,2026-08,23.47,30,787,40
923074080,2026-07,46.91,60,70,26
923074080,2026-08,3.22,60,203,27
963129379,2026-07,36.14,60,853,56
963129379,2026-08,22.87,60,76,43
916521303,2026-07,37.41,30,80,0
916521303,2026-08,15.62,30,72,7
949195336,2026-07,7.5,8,605,32
949195336,2026-08,2.11,8,824,16
926576405,2026-07,7.86,100,343,12
926576405,2026-08,103.06,100,322,44
966663911,2026-07,17.99,18,887,49
966663911,2026-08,16.14,18,267,50
988942006,2026-07,23.63,30,791,27
988942006,2026-08,20.73,30,388,2
914141457,2026-07,110.0,100,728,37
914141457,2026-08,50.63,100,423,7
985913369,2026-07,3.66,60,704,45
985913369,2026-08,36.43,60,580,20
915060593,2026-07,68.51,100,467,55
915060593,2026-08,45.46,100,458,37
916462928,2026-07,39.09,60,713,60
916462928,2026-08,63.14,60,805,48
981109030,2026-07,3.16,18,494,44
981109030,2026-08,18.59,18,148,57
962204064,2026-07,60.27,100,788,10
962204064,2026-08,89.62,100,664,33
924056271,2026-07,8.15,8,289,53
924056271,2026-08,5.7,8,367,33
917168649,2026-07,5.93,18,248,39
917168649,2026-08,22.15,18,337,46
934372665,2026-07,30.65,100,648,59
934372665,2026-08,20.02,100,587,40
978827788,2026-07,44.49,60,704,36
978827788,2026-08,61.22,60,119,59
937107861,2026-07,101.96,100,841,20
937107861,2026-08,91.5,100,48,2
989222432,2026-07,110.58,100,249,33
989222432,2026-08,36.95,100,324,28
984534761,2026-07,26.14,30,182,30
984534761,2026-08,6.88,30,287,54
922557948,2026-07,53.2,100,513,27
922557948,2026-08,43.34,100,838,55
946318301,2026-07,7.51,8,256,41
946318301,2026-08,1.03,8,384,11
967123284,2026-07,50.32,100,700,13
967123284,2026-08,60.48,100,429,3
984274249,2026-07,103.06,100,684,27
984274249,2026-08,57.42,100,162,6
