ticket_id,numero_linea,tipo,fecha_registro,estado,codigo_osiptel
REC-2026-00001,924056271,CONTRATACION,2026-08-06,EN_PROCESO,OSI-658224
REC-2026-00002,937787771,CALIDAD_SERVICIO,2026-04-14,RESUELTO,OSI-519455
REC-2026-00003,916462928,CALIDAD_SERVICIO,2026-03-25,ABIERTO,OSI-111168
REC-2026-00004,923074080,FACTURACION,2026-06-17,RESUELTO,OSI-991543
REC-2026-00005,963129379,CALIDAD_SERVICIO,2026-08-30,EN_PROCESO,OSI-757080
REC-2026-00006,937787771,CONTRATACION,2026-06-11,RESUELTO,OSI-873987
REC-2026-00007,934372665,AVERIA,2026-03-12,RESUELTO,OSI-274014
REC-2026-00008,934372665,PORTABILIDAD,2026-08-12,EN_PROCESO,OSI-217981
REC-2026-00009,927044321,PORTABILIDAD,2026-04-18,ABIERTO,OSI-265569
REC-2026-00010,988055365,SUSPENSION,2026-04-18,RESUELTO,OSI-305224
REC-2026-00011,926576405,PORTABILIDAD,2026-05-31,EN_PROCESO,OSI-343511
REC-2026-00012,938413740,PORTABILIDAD,2026-09-03,RESUELTO,OSI-138642
REC-2026-00013,915507872,FACTURACION,2026-06-06,RESUELTO,OSI-989658
REC-2026-00014,927044321,AVERIA,2026-08-15,EN_PROCESO,OSI-403654
REC-2026-00015,926576405,SUSPENSION,2026-03-11,RESUELTO,OSI-588225
REC-2026-00016,985913369,CALIDAD_SERVICIO,2026-08-02,ESCALADO_REGULADOR,OSI-123973
REC-2026-00017,940136289,CONTRATACION,2026-08-05,ABIERTO,OSI-211800
REC-2026-00018,984534761,SUSPENSION,2026-03-17,EN_PROCESO,OSI-800832
REC-2026-00019,927044321,CALIDAD_SERVICIO,2026-09-02,EN_PROCESO,OSI-775554
REC-2026-00020,910789277,PORTABILIDAD,2026-08-22,EN_PROCESO,OSI-719150
REC-2026-00021,922557948,FACTURACION,2026-04-26,RESUELTO,OSI-766993
REC-2026-00022,949195336,FACTURACION,2026-07-27,EN_PROCESO,OSI-205378
REC-2026-00023,950011472,SUSPENSION,2026-07-28,RESUELTO,OSI-350935
REC-2026-00024,967123284,CALIDAD_SERVICIO,2026-04-30,RESUELTO,OSI-240225
REC-2026-00025,917651234,PORTABILIDAD,2026-05-31,RESUELTO,OSI-469161
REC-2026-00026,921230295,PORTABILIDAD,2026-03-29,RESUELTO,OSI-206129
REC-2026-00027,989255363,SUSPENSION,2026-03-27,EN_PROCESO,OSI-310654
REC-2026-00028,927044321,AVERIA,2026-05-01,EN_PROCESO,OSI-991848
REC-2026-00029,989222432,SUSPENSION,2026-07-25,RESUELTO,OSI-433221
REC-2026-00030,988837195,SUSPENSION,2026-07-23,ABIERTO,OSI-845019
REC-2026-00031,926576405,SUSPENSION,2026-08-23,RESUELTO,OSI-306208
REC-2026-00032,924132781,SUSPENSION,2026-04-08,ABIERTO,OSI-910833
REC-2026-00033,915726991,PORTABILIDAD,2026-06-23,ESCALADO_REGULADOR,OSI-970357
REC-2026-00034,915726991,AVERIA,2026-06-21,ABIERTO,OSI-467226
REC-2026-00035,989222432,PORTABILIDAD,2026-04-11,RESUELTO,OSI-968755
REC-2026-00036,926576405,PORTABILIDAD,2026-05-20,EN_PROCESO,OSI-663963
REC-2026-00037,987807296,FACTURACION,2026-07-01,ABIERTO,OSI-858501
REC-2026-00038,917168649,SUSPENSION,2026-07-20,RESUELTO,OSI-792028
REC-2026-00039,989222432,FACTURACION,2026-09-04,RESUELTO,OSI-835738
REC-2026-00040,985685244,FACTURACION,2026-05-22,EN_PROCESO,OSI-930170
